Time (ms),Stage,PosX (m),PosY (m),PosZ (m),VeloX (m/s),VeloY (m/s),VeloZ (m/s),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),Bar Altitude,Bar Pressure,Bar Temperature,GPS Longitude,GPS Latitude,GPS Altitude,GPS PosX,GPS PosY,GPS PosZ,GPS Heading Angle,GPS Satellites,IMU AccelX,IMU AccelY,IMU AccelZ,IMU AngVeloX,IMU AngVeloY,IMU AngVeloZ,IMU MagX,IMU MagY,IMU MagZ,IMU OrientationW,IMU OrientationX,IMU OrientationY,IMU OrientationZ,IMU Roll,IMU Pitch,IMU Yaw,PWM,Target Lat,Target Long,Goal Angle,BNO Calibration Sys,BNO Calibration Accel,BNO Calibration Gryo,BNO Calibration Mag
6.72,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,100381.45,24.37,0.00,0.00,0.00,,,0.00,0.00,0,-0.00,-0.08,9.99,-0.06,3.88,2.19,-112.69,14.19,48.06,0.67,-0.06,-0.74,-0.03,-157.26,-83.59,150.00,72.71,0.00,0.00,0.00,0,0,0,0
6.84,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.27,100384.95,24.38,0.00,0.00,0.00,,,0.00,0.00,0,0.16,0.16,9.05,-0.50,-4.75,-2.69,-111.50,14.56,49.19,0.67,-0.06,-0.74,-0.03,-157.10,-83.62,149.85,190.00,0.00,0.00,0.00,0,0,0,0
6.86,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.27,100384.95,24.38,0.00,0.00,0.00,,,0.00,0.00,0,0.04,0.09,9.37,-0.56,-1.38,-1.12,-112.25,14.19,48.06,0.67,-0.06,-0.74,-0.03,-156.99,-83.63,149.72,190.00,0.00,0.00,0.00,0,0,0,0
6.87,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.27,100384.95,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.25,-0.09,9.55,-0.06,2.56,1.44,-112.25,14.19,48.06,0.67,-0.06,-0.74,-0.03,-156.71,-83.65,149.44,190.00,0.00,0.00,0.00,0,0,0,0
6.88,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.27,100384.95,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.23,-0.03,9.55,-0.19,0.44,0.38,-112.25,14.19,48.06,0.67,-0.06,-0.74,-0.03,-156.69,-83.66,149.42,190.00,0.00,0.00,0.00,0,0,0,0
6.90,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,100381.50,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.22,-0.06,9.55,-0.31,-3.12,-1.56,-112.25,14.19,48.06,0.67,-0.06,-0.74,-0.03,-156.94,-83.63,149.69,190.00,0.00,0.00,0.00,0,0,0,0
6.91,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,100381.50,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.08,-0.08,9.71,-0.38,-1.19,-0.62,-106.25,15.00,40.69,0.67,-0.06,-0.74,-0.03,-157.03,-83.62,149.76,190.00,0.00,0.00,0.00,0,0,0,0
6.93,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,100381.50,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.22,-0.04,9.60,0.06,2.12,1.50,-106.25,15.00,40.69,0.67,-0.06,-0.74,-0.03,-156.78,-83.64,149.53,190.00,0.00,0.00,0.00,0,0,0,0
6.94,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,100381.50,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.11,-0.05,9.63,-0.19,-0.62,-0.31,-106.25,15.00,40.69,0.67,-0.06,-0.74,-0.03,-156.64,-83.65,149.39,190.00,0.00,0.00,0.00,0,0,0,0
6.95,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,100381.50,24.38,0.00,0.00,0.00,,,0.00,0.00,0,0.07,0.12,9.23,-0.25,-2.00,-1.38,-106.25,15.00,40.69,0.67,-0.06,-0.74,-0.03,-156.80,-83.64,149.55,190.00,0.00,0.00,0.00,0,0,0,0
6.97,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,100382.27,24.37,0.00,0.00,0.00,,,0.00,0.00,0,-0.06,-0.02,9.58,-0.19,-0.38,-0.19,-108.19,14.19,39.56,0.67,-0.06,-0.74,-0.03,-156.80,-83.64,149.55,190.00,0.00,0.00,0.00,0,0,0,0
6.98,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,100382.27,24.37,0.00,0.00,0.00,,,0.00,0.00,0,-0.11,-0.07,9.62,-0.12,0.06,-0.06,-108.19,14.19,39.56,0.67,-0.06,-0.74,-0.03,-156.64,-83.65,149.39,175.29,0.00,0.00,0.00,0,0,0,0
6.99,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,100382.27,24.37,0.00,0.00,0.00,,,0.00,0.00,0,0.01,0.06,9.34,-0.25,-1.38,-0.81,-108.19,14.19,39.56,0.67,-0.06,-0.74,-0.03,-156.78,-83.64,149.53,92.14,0.00,0.00,0.00,0,0,0,0
7.01,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,100382.27,24.37,0.00,0.00,0.00,,,0.00,0.00,0,-0.09,-0.06,9.64,-0.19,0.25,0.19,-108.19,14.19,39.56,0.67,-0.06,-0.74,-0.03,-156.76,-83.65,149.51,51.61,0.00,0.00,0.00,0,0,0,0
7.02,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,100382.27,24.37,0.00,0.00,0.00,,,0.00,0.00,0,-0.09,-0.06,9.55,-0.19,-0.69,-0.38,-106.69,15.69,41.06,0.67,-0.06,-0.74,-0.03,-156.76,-83.65,149.51,-64.91,0.00,0.00,0.00,0,0,0,0
7.04,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.16,100383.57,24.37,0.00,0.00,0.00,,,0.00,0.00,0,-0.13,-0.07,9.57,-0.25,0.56,0.31,-106.69,15.69,41.06,0.67,-0.06,-0.74,-0.03,-156.76,-83.65,149.51,-110.23,0.00,0.00,0.00,0,0,0,0
7.05,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.16,100383.57,24.37,0.00,0.00,0.00,,,0.00,0.00,0,-0.01,0.02,9.46,-0.12,-0.38,-0.44,-106.69,15.69,41.06,0.67,-0.06,-0.74,-0.03,-156.76,-83.65,149.51,-107.92,0.00,0.00,0.00,0,0,0,0
7.07,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.16,100383.57,24.37,0.00,0.00,0.00,,,0.00,0.00,0,-0.19,-0.06,9.57,-0.19,0.19,0.12,-109.25,15.00,44.19,0.67,-0.06,-0.74,-0.03,-156.71,-83.65,149.44,-154.61,0.00,0.00,0.00,0,0,0,0
7.08,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.16,100383.57,24.37,0.00,0.00,0.00,,,0.00,0.00,0,-0.18,-0.02,9.53,-0.31,-0.25,-0.31,-109.25,15.00,44.19,0.67,-0.06,-0.74,-0.03,-156.64,-83.65,149.39,-195.85,0.00,0.00,0.00,0,0,0,0
7.09,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,100383.19,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.11,-0.02,9.55,-0.25,0.44,0.19,-109.25,15.00,44.19,0.67,-0.06,-0.74,-0.03,-156.62,-83.66,149.37,-193.96,0.00,0.00,0.00,0,0,0,0
7.11,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,100383.19,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.12,0.00,9.51,-0.25,-0.06,-0.12,-109.25,15.00,44.19,0.67,-0.06,-0.74,-0.03,-156.60,-83.66,149.35,-219.10,0.00,0.00,0.00,0,0,0,0
7.12,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,100383.19,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.12,-0.04,9.51,-0.25,-0.25,-0.19,-109.00,13.88,43.88,0.67,-0.06,-0.74,-0.03,-156.60,-83.66,149.35,-241.64,0.00,0.00,0.00,0,0,0,0
7.13,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,100383.19,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.11,-0.01,9.54,-0.06,-0.25,-0.12,-109.00,13.88,43.88,0.67,-0.06,-0.74,-0.03,-156.58,-83.67,149.33,-240.33,0.00,0.00,0.00,0,0,0,0
7.15,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,100383.19,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.11,-0.07,9.52,-0.19,0.12,-0.06,-109.00,13.88,43.88,0.67,-0.06,-0.74,-0.03,-156.56,-83.67,149.31,-247.00,0.00,0.00,0.00,0,0,0,0
7.16,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,100381.32,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.13,-0.01,9.51,-0.25,-0.06,-0.12,-107.50,14.56,41.88,0.67,-0.06,-0.74,-0.03,-156.56,-83.67,149.31,-247.00,0.00,0.00,0.00,0,0,0,0
7.17,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,100381.32,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.13,-0.06,9.54,-0.25,0.06,0.06,-107.50,14.56,41.88,0.67,-0.06,-0.74,-0.03,-156.44,-83.68,149.19,-247.00,0.00,0.00,0.00,0,0,0,0
7.19,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,100381.32,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.10,-0.04,9.51,-0.19,-0.06,-0.06,-107.50,14.56,41.88,0.67,-0.06,-0.74,-0.03,-156.44,-83.68,149.19,-247.00,0.00,0.00,0.00,0,0,0,0
7.20,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,100381.32,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.11,-0.06,9.55,-0.19,-0.12,0.06,-107.50,14.56,41.88,0.67,-0.06,-0.74,-0.03,-156.44,-83.68,149.19,-247.00,0.00,0.00,0.00,0,0,0,0
7.22,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,100381.32,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.13,-0.01,9.53,-0.19,0.12,0.06,-106.00,13.88,39.19,0.67,-0.06,-0.74,-0.03,-156.40,-83.68,149.14,-247.00,0.00,0.00,0.00,0,0,0,0
7.23,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,100383.19,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.06,-0.02,9.50,-0.25,0.06,0.00,-106.00,13.88,39.19,0.67,-0.06,-0.74,-0.03,-156.40,-83.68,149.14,-247.00,0.00,0.00,0.00,0,0,0,0
7.24,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,100383.19,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.11,-0.02,9.53,-0.12,-0.06,-0.06,-106.00,13.88,39.19,0.67,-0.06,-0.74,-0.03,-156.40,-83.68,149.14,-247.00,0.00,0.00,0.00,0,0,0,0
7.26,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,100383.19,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.10,-0.02,9.51,-0.25,-0.06,-0.06,-106.00,13.88,39.19,0.67,-0.06,-0.74,-0.03,-156.34,-83.69,149.09,-247.00,0.00,0.00,0.00,0,0,0,0
7.27,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,100383.19,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.10,-0.07,9.55,-0.25,0.06,0.00,-106.00,14.56,39.56,0.67,-0.06,-0.74,-0.03,-156.32,-83.69,149.07,-247.00,0.00,0.00,0.00,0,0,0,0
7.28,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,100383.19,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.10,-0.06,9.52,-0.19,0.19,0.00,-106.00,14.56,39.56,0.67,-0.06,-0.74,-0.03,-156.28,-83.69,149.02,-247.00,0.00,0.00,0.00,0,0,0,0
7.30,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.11,100383.06,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.09,-0.03,9.53,-0.19,0.06,-0.06,-106.00,14.56,39.56,0.67,-0.06,-0.74,-0.03,-156.28,-83.69,149.02,-247.00,0.00,0.00,0.00,0,0,0,0
7.31,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.11,100383.06,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.07,-0.03,9.52,-0.25,-0.06,0.00,-106.00,14.56,39.56,0.67,-0.06,-0.74,-0.03,-156.26,-83.69,149.00,-247.00,0.00,0.00,0.00,0,0,0,0
7.32,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.11,100383.06,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.12,-0.02,9.53,-0.19,0.00,-0.06,-104.88,14.19,39.56,0.67,-0.06,-0.74,-0.03,-156.24,-83.70,148.98,-247.00,0.00,0.00,0.00,0,0,0,0
7.34,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.11,100383.06,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.07,-0.05,9.53,-0.19,-0.06,-0.06,-104.88,14.19,39.56,0.67,-0.06,-0.74,-0.03,-156.24,-83.70,148.98,-247.00,0.00,0.00,0.00,0,0,0,0
7.35,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.08,100383.06,24.38,0.00,0.00,0.00,,,0.00,0.00,0,-0.04,-0.04,9.53,-0.12,0.00,0.00,-104.88,14.19,39.56,0.67,-0.06,-0.74,-0.03,-156.20,-83.69,148.94,-247.00,0.00,0.00,0.00,0,0,0,0
7.36,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.11,100383.08,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.07,-0.03,9.55,-0.06,-0.06,0.06,-106.00,13.88,39.56,0.67,-0.06,-0.74,-0.03,-156.15,-83.70,148.90,-247.00,0.00,0.00,0.00,0,0,0,0
7.38,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.11,100383.08,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.17,-0.03,9.51,-0.25,-0.06,-0.06,-106.00,13.88,39.56,0.67,-0.06,-0.74,-0.03,-156.15,-83.70,148.90,-247.00,0.00,0.00,0.00,0,0,0,0
7.39,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.11,100383.08,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.07,-0.04,9.52,-0.19,0.00,-0.12,-106.00,13.88,39.56,0.67,-0.06,-0.74,-0.03,-156.10,-83.71,148.84,-247.00,0.00,0.00,0.00,0,0,0,0
7.40,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.11,100383.08,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.06,-0.02,9.51,-0.25,0.12,0.00,-106.00,13.88,39.56,0.67,-0.06,-0.74,-0.03,-156.08,-83.71,148.82,-247.00,0.00,0.00,0.00,0,0,0,0
7.42,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.07,100382.60,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.12,-0.00,9.53,-0.44,-0.12,0.06,-106.00,13.50,40.38,0.67,-0.06,-0.74,-0.03,-156.08,-83.71,148.82,-247.00,0.00,0.00,0.00,0,0,0,0
7.43,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.07,100382.60,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.23,0.04,9.54,-0.06,0.12,-0.06,-106.00,13.50,40.38,0.67,-0.06,-0.74,-0.03,-156.03,-83.72,148.78,-247.00,0.00,0.00,0.00,0,0,0,0
7.45,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.07,100382.60,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.14,-0.02,9.55,-0.19,0.00,0.19,-106.00,13.50,40.38,0.67,-0.06,-0.74,-0.03,-156.03,-83.72,148.78,-247.00,0.00,0.00,0.00,0,0,0,0
7.46,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.07,100382.60,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.06,-0.02,9.50,-0.19,0.06,-0.06,-106.00,13.50,40.38,0.67,-0.06,-0.74,-0.03,-155.99,-83.72,148.74,-247.00,0.00,0.00,0.00,0,0,0,0
7.47,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.07,100382.60,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.16,-0.02,9.51,-0.19,-0.06,-0.06,-105.25,13.88,40.38,0.67,-0.06,-0.74,-0.03,-155.97,-83.72,148.72,-247.00,0.00,0.00,0.00,0,0,0,0
7.48,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,100381.54,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.11,-0.02,9.51,-0.19,-0.06,-0.19,-105.25,13.88,40.38,0.67,-0.06,-0.74,-0.03,-155.95,-83.73,148.70,-247.00,0.00,0.00,0.00,0,0,0,0
7.50,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,100381.54,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.13,-0.02,9.56,-0.12,-0.06,-0.06,-105.25,13.88,40.38,0.67,-0.06,-0.74,-0.03,-155.93,-83.73,148.68,-247.00,0.00,0.00,0.00,0,0,0,0
7.51,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,100381.54,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.12,-0.01,9.53,-0.19,-0.06,0.06,-105.25,13.88,40.38,0.67,-0.06,-0.74,-0.03,-155.93,-83.73,148.68,-247.00,0.00,0.00,0.00,0,0,0,0
7.52,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,100381.54,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.13,-0.02,9.51,-0.12,0.12,-0.06,-105.56,13.88,40.38,0.67,-0.06,-0.74,-0.03,-155.89,-83.74,148.63,-247.00,0.00,0.00,0.00,0,0,0,0
7.54,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,100381.54,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.09,-0.02,9.51,-0.19,-0.12,-0.06,-105.56,13.88,40.38,0.67,-0.06,-0.74,-0.03,-155.89,-83.74,148.63,-247.00,0.00,0.00,0.00,0,0,0,0
7.55,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.13,100383.30,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.13,-0.04,9.55,-0.12,-0.12,-0.12,-105.56,13.88,40.38,0.67,-0.06,-0.74,-0.03,-155.83,-83.74,148.57,-247.00,0.00,0.00,0.00,0,0,0,0
7.57,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.13,100383.30,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.13,-0.01,9.52,-0.12,-0.19,-0.12,-106.25,14.19,39.19,0.67,-0.06,-0.74,-0.03,-155.76,-83.74,148.51,-247.00,0.00,0.00,0.00,0,0,0,0
7.58,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.13,100383.30,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.12,0.00,9.53,-0.06,0.12,0.00,-106.25,14.19,39.19,0.67,-0.06,-0.74,-0.03,-155.76,-83.74,148.51,-247.00,0.00,0.00,0.00,0,0,0,0
7.59,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.13,100383.30,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.07,-0.04,9.52,-0.06,-0.06,0.12,-106.25,14.19,39.19,0.67,-0.06,-0.74,-0.03,-155.72,-83.75,148.47,-247.00,0.00,0.00,0.00,0,0,0,0
7.61,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.13,100383.30,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.10,-0.02,9.53,-0.31,0.00,0.06,-106.25,14.19,39.19,0.67,-0.06,-0.74,-0.03,-155.72,-83.75,148.47,-247.00,0.00,0.00,0.00,0,0,0,0
7.62,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.07,100382.52,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.15,0.03,9.48,-0.12,0.06,0.00,-107.06,14.19,40.38,0.67,-0.06,-0.74,-0.03,-155.72,-83.75,148.47,-247.00,0.00,0.00,0.00,0,0,0,0
7.63,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.07,100382.52,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.15,-0.05,9.58,-0.12,-0.19,0.06,-107.06,14.19,40.38,0.67,-0.06,-0.74,-0.03,-155.68,-83.76,148.43,-247.00,0.00,0.00,0.00,0,0,0,0
7.65,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.07,100382.52,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.05,0.01,9.53,-0.19,0.00,0.00,-107.06,14.19,40.38,0.67,-0.06,-0.74,-0.03,-155.68,-83.76,148.43,-247.00,0.00,0.00,0.00,0,0,0,0
7.66,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.07,100382.52,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.09,-0.01,9.51,-0.25,-0.12,0.06,-107.06,14.19,40.38,0.67,-0.06,-0.74,-0.03,-155.68,-83.76,148.43,-247.00,0.00,0.00,0.00,0,0,0,0
7.67,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.07,100382.52,24.39,0.00,0.00,0.00,,,0.00,0.00,0,-0.17,-0.02,9.54,-0.25,-0.06,-0.06,-105.56,13.50,41.19,0.67,-0.06,-0.74,-0.03,-155.66,-83.76,148.41,-247.00,0.00,0.00,0.00,0,0,0,0
7.69,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,100381.84,24.40,0.00,0.00,0.00,,,0.00,0.00,0,-0.10,-0.00,9.53,-0.25,0.06,0.06,-105.56,13.50,41.19,0.67,-0.06,-0.74,-0.03,-155.64,-83.77,148.39,-247.00,0.00,0.00,0.00,0,0,0,0
7.70,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,100381.84,24.40,0.00,0.00,0.00,,,0.00,0.00,0,-0.11,0.01,9.50,-0.25,0.00,0.12,-105.56,13.50,41.19,0.67,-0.06,-0.74,-0.03,-155.64,-83.77,148.39,-247.00,0.00,0.00,0.00,0,0,0,0
7.71,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,100381.84,24.40,0.00,0.00,0.00,,,0.00,0.00,0,-0.12,-0.11,9.55,-0.19,0.12,-0.06,-105.56,13.50,41.19,0.67,-0.06,-0.74,-0.03,-155.64,-83.77,148.39,-247.00,0.00,0.00,0.00,0,0,0,0
7.73,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,100381.84,24.40,0.00,0.00,0.00,,,0.00,0.00,0,-0.04,-0.03,9.55,0.00,0.19,0.06,-106.00,13.88,40.00,0.67,-0.06,-0.74,-0.03,-155.59,-83.77,148.35,-247.00,0.00,0.00,0.00,0,0,3,0
7.85,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,100383.12,24.40,0.00,0.00,0.00,,,0.00,0.00,0,-0.02,0.02,9.51,0.12,0.06,0.06,-106.25,14.19,42.38,0.67,-0.06,-0.74,-0.03,-155.43,-83.79,148.18,-247.00,0.00,0.00,0.00,0,0,3,0
7.87,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,100383.12,24.40,0.00,0.00,0.00,,,0.00,0.00,0,-0.22,-0.02,9.57,-0.06,-0.19,-0.19,-106.00,14.19,40.00,0.67,-0.06,-0.74,-0.03,-155.40,-83.80,148.15,-247.00,0.00,0.00,0.00,0,0,3,0
7.88,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.24,100384.58,24.40,0.00,0.00,0.00,,,0.00,0.00,0,-0.17,0.01,9.52,-0.06,0.19,0.12,-106.00,14.19,40.00,0.67,-0.06,-0.74,-0.03,-155.38,-83.80,148.13,-247.00,0.00,0.00,0.00,0,0,3,0
7.89,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.24,100384.58,24.40,0.00,0.00,0.00,,,0.00,0.00,0,-0.08,0.01,9.52,-0.12,0.19,0.06,-106.00,14.19,40.00,0.67,-0.06,-0.74,-0.03,-155.36,-83.80,148.11,-247.00,0.00,0.00,0.00,0,0,3,0
7.91,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.24,100384.58,24.40,0.00,0.00,0.00,,,0.00,0.00,0,-0.18,0.00,9.58,0.25,1.25,0.62,-106.00,14.19,40.00,0.67,-0.06,-0.74,-0.03,-155.22,-83.81,147.97,-247.00,0.00,0.00,0.00,0,0,3,0
7.92,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.24,100384.58,24.40,0.00,0.00,0.00,,,0.00,0.00,0,-0.15,-0.05,9.59,0.00,0.38,0.06,-106.00,13.88,39.19,0.67,-0.06,-0.74,-0.03,-155.22,-83.81,147.97,-247.00,0.00,0.00,0.00,0,0,3,0
7.94,Pre Launch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,100382.28,24.40,0.00,0.00,0.00,,,0.00,0.00,0,-0.24,-0.06,9.55,-0.19,-2.00,-1.31,-106.00,13.88,39.19,0.67,-0.06,-0.74,-0.03,-155.55,-83.80,148.30,-247.00,0.00,0.00,0.00,0,0,3,0
